iter	RMSE
0	38.93920513
1	38.42979555
2	38.06055197
3	37.56319962
4	37.15633224
5	36.69272805
6	36.23451055
7	35.83576951
8	35.47608321
9	35.12482475
10	34.78853762
11	34.42047273
12	34.05139915
13	33.69245477
14	33.37550826
15	33.06540233
16	32.69465146
17	32.44507538
18	32.14920671
19	31.83233684
20	31.65614947
21	31.43732973
22	31.2001523
23	30.92404066
24	30.67624219
25	30.47493449
26	30.21856293
27	30.01932426
28	29.78060846
29	29.6141706
30	29.3742982
31	29.12151262
32	28.89275028
33	28.73303599
34	28.54507579
35	28.3381713
36	28.17132003
37	27.99384769
38	27.80230128
39	27.69900014
40	27.65639169
41	27.45428839
42	27.33535754
43	27.23137919
44	27.04866439
45	26.92418055
46	26.79975259
47	26.66086256
48	26.52792451
49	26.43651599
50	26.2859923
51	26.13605869
52	25.99934014
53	25.81829469
54	25.74365481
55	25.66686047
56	25.61709153
57	25.48912044
58	25.35953201
59	25.31159043
60	25.17257305
61	25.07356973
62	24.96927605
63	24.83756354
64	24.70929944
65	24.65711046
66	24.60045738
67	24.4620549
68	24.39031589
69	24.32916746
70	24.23270951
71	24.1684206
72	24.09906742
73	24.06689949
74	24.03581234
75	23.98074337
76	23.91083788
77	23.85542788
78	23.79222877
79	23.71632764
80	23.62045028
81	23.56877105
82	23.5022394
83	23.43973118
84	23.36039019
85	23.32809234
86	23.29176403
87	23.24123755
88	23.19418299
89	23.13500991
90	23.09854852
91	23.05032422
92	23.02144134
93	22.92090666
94	22.86121138
95	22.80119327
96	22.76383027
97	22.73218728
98	22.6932932
99	22.65003124
100	22.5822853
101	22.5534361
102	22.51577825
103	22.46464556
104	22.39612316
105	22.35006724
106	22.34233337
107	22.31377669
108	22.27610827
109	22.22093404
110	22.18185177
111	22.15144885
112	22.10988959
113	22.07907982
114	22.07159563
115	22.04172171
116	22.00511593
117	21.92808405
118	21.90019777
119	21.82743386
120	21.78694055
121	21.6577757
122	21.62312579
123	21.57565679
124	21.55165552
125	21.5309864
126	21.48494038
127	21.46056139
128	21.42783686
129	21.38298679
130	21.33940817
131	21.32369178
132	21.29094594
133	21.25062633
134	21.23266859
135	21.21384846
136	21.18403462
137	21.15886604
138	21.10597921
139	21.09235087
140	21.0545887
141	21.01137998
142	20.95891458
143	20.89899859
144	20.84235995
145	20.80956366
146	20.7877357
147	20.76401298
148	20.69183904
149	20.65580359
150	20.63250987
151	20.62045904
152	20.60636481
153	20.57070598
154	20.50454819
155	20.45273315
156	20.42010549
157	20.38670878
158	20.35099042
159	20.33979531
160	20.32655523
161	20.3076147
162	20.27549108
163	20.22604726
164	20.21247459
165	20.19855328
166	20.15135775
167	20.08853672
168	20.05597084
169	19.99519562
170	19.98711739
171	19.97078333
172	19.92257898
173	19.90602276
174	19.88546216
175	19.87480774
176	19.82096155
177	19.77793477
178	19.73767555
179	19.71942906
180	19.6936529
181	19.65153872
182	19.62113353
183	19.59470373
184	19.56902255
185	19.55065636
186	19.53824864
187	19.50621567
188	19.49223729
189	19.45388488
190	19.42394939
191	19.41045962
192	19.3784423
193	19.36416348
194	19.35507627
195	19.29760957
196	19.2814814
197	19.26826408
198	19.25356079
199	19.23235129
200	19.21591662
201	19.170367
202	19.15259764
203	19.11593078
204	19.10526431
205	19.06517591
206	19.03042731
207	19.01856068
208	19.00723529
209	18.9666531
210	18.95477959
211	18.94628571
212	18.91128249
213	18.90024418
214	18.86598041
215	18.85196794
216	18.841565
217	18.80466504
